Id Person;Name;Profession;Known For Titles
nm0001596;Pier Paolo Pasolini;writer,director,actor;tt0065622,tt0073650,tt0058715,tt0050783
nm0001603;Sam Peckinpah;writer,director,producer;tt0065214,tt0067800,tt0086058,tt0049366
nm0001628;Sydney Pollack;director,producer,actor;tt0084805,tt0465538,tt0120663,tt0089755
nm0001676;Nicolas Roeg;camera_department,director,cinematographer;tt0069995,tt0067959,tt0074851,tt0100944
nm0001681;George A. Romero;producer,writer,director;tt0418819,tt0848557,tt0063350,tt0095652
nm0001692;Ken Russell;director,writer,actor;tt0066993,tt0066858,tt0073812,tt0080360
nm0001707;Paul Schrader;writer,director,producer;tt6053438,tt11196036,tt0118564,tt0075314
nm0001708;Joel Schumacher;director,writer,producer;tt0293508,tt0118688,tt0134273,tt0183649
nm0001709;Til Schweiger;actor,producer,director;tt0361748,tt0119472,tt0960790,tt1700258
nm0001710;David Schwimmer;actor,director,producer;tt0108778,tt0120828,tt0185906,tt0488085
nm0001716;Tony Scott;producer,director,actor;tt0421054,tt0477080,tt0092099,tt0108399
nm0001741;Bryan Singer;producer,director,actor;tt0120903,tt0114814,tt1877832,tt0348150
nm0001752;Steven Soderbergh;producer,director,cinematographer;tt0098724,tt0181865,tt1291580,tt0195685
nm0001774;Ben Stiller;producer,actor,director;tt0942385,tt0196229,tt1608290,tt0129387
nm0001789;Andrei Tarkovsky;miscellaneous,writer,director;tt0091670,tt0069293,tt0086022,tt0079944
nm0001801;Robert Towne;writer,producer,actor;tt0071315,tt0070290,tt0117060,tt0096244
nm0001814;Gus Van Sant;director,producer,actor;tt0363589,tt0842929,tt0097240,tt0102494
nm0001874;Franco Zeffirelli;miscellaneous,production_designer,director;tt0063518,tt0084821,tt0061407,tt0099726
nm0001878;David Zucker;writer,producer,director;tt0080339,tt0095705,tt0362120,tt0088286
nm0001885;Lars von Trier;writer,director,producer;tt0168629,tt4003440,tt1527186,tt0115751
nm0001928;Roy Ward Baker;director,assistant_director,miscellaneous;tt0068230,tt0051994,tt0081178,tt0057610
nm0001994;Michael Caton-Jones;director,producer,actor;tt0100133,tt0430912,tt0269095,tt0119395
nm0002020;Costa-Gavras;director,writer,assistant_director;tt0065234,tt0084335,tt0280653,tt0422015
nm0002045;Stanley Donen;director,miscellaneous,producer;tt0056923,tt0045152,tt0050419,tt0047472
nm0002077;Dexter Fletcher;director,actor,producer;tt15326988,tt2066051,tt1727824,tt1083452
nm0002086;Lucio Fulci;writer,director,actor;tt0084719,tt0087759,tt0080057,tt0081318
nm0002089;Sidney J. Furie;director,writer,producer;tt0094074,tt0059319,tt0060120,tt0091278
nm0002120;Lasse Hallström;director,writer,editor;tt0108550,tt0241303,tt0089606,tt2980648
nm0002137;Arthur Hiller;director,producer,actor;tt0066011,tt0067217,tt0098282,tt0079336
nm0002140;Agnieszka Holland;director,writer,producer;tt5328350,tt27722543,tt6828390,tt0099776
nm0002153;Jack Cardiff;cinematographer,camera_department,director;tt0039192,tt0054326,tt0049934,tt0043265
nm0002165;Marc Allégret;director,writer,art_director;tt0030100,tt0044385,tt0045942,tt0047817
nm0002175;Ken Annakin;director,writer,producer;tt0056197,tt0084504,tt0059797,tt0064688
nm0002190;Anthony Asquith;director,writer,actor;tt0043362,tt0052033,tt0030637,tt0038238
nm0002191;Jacques Audiard;writer,director,producer;tt20221436,tt2053425,tt4971344,tt1235166
nm0002195;Hy Averback;director,producer,actor;tt0068098,tt0053547,tt0050053,tt0043435
nm0002216;Yves Robert;actor,producer,writer;tt0068655,tt0054949,tt0076470,tt0099669
nm0002340;Stuart Gordon;writer,director,producer;tt0089885,tt0091083,tt0758786,tt0106950
nm0002892;Wally Pfister;cinematographer,camera_department,director;tt1375666,tt0468569,tt0482571,tt1345836
nm0002916;Ray Brady;director,writer,editor;tt2363065,tt7123996,tt15062874,tt18360192
nm0003343;Rob Schmidt;director,camera_department,actor;tt0295700,tt0197384,tt0165461,tt5997452
nm0003423;Peter MacDonald;camera_department,assistant_director,director;tt0095956,tt0126388,tt7710360,tt0117420
nm0003506;James Mangold;producer,director,writer;tt3315342,tt11563598,tt1950186,tt0358273
nm0003593;Fred Zinnemann;director,assistant_director,producer;tt0060665,tt0045793,tt0044706,tt0053131
nm0003606;Philippe de Broca;director,writer,actor;tt0058203,tt0055832,tt0053964,tt0054621
nm0003638;F.W. Murnau;director,writer,producer;tt0018455,tt0013442,tt0022458,tt0012973
nm0003697;Florian Henckel von Donnersmarck;director,writer,producer;tt0405094,tt5311542,tt1243957,tt0233589
nm0003836;Michael Powell;director,writer,producer;tt0054167,tt0038733,tt0040725,tt0044103
nm0003837;Stuart Cooper;director,writer,producer;tt6044436,tt0150705,tt0405496,tt0870985
nm0004217;André Øvredal;director,writer,producer;tt1740707,tt3289956,tt4583446,tt1001520
nm0004244;Jacques Tati;writer,actor,director;tt0062136,tt0046487,tt0050706,tt0040497
nm0004303;Gavin Hood;actor,director,producer;tt5431890,tt0468565,tt2057392,tt0178860
nm0004305;George Miller;director,producer,assistant_director;tt0084296,tt0067408,tt0100240,tt0109120
nm0004332;Robert B. Weide;producer,director,writer;tt0264235,tt0175844,tt0435651,tt0364151
nm0004541;David Blair;director,producer,production_manager;tt3430548,tt0209813,tt0472984,tt0122579
